scenario,base,type,sampleSize,auc,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,g0,g1,g2,c,averageTrueBenefit,averageObservedBenefit
514,high,linear-high,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.84,0.7846154,0,0,0.069,0.051750000000000004
515,high,linear-high,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.84,0.7846154,0,0,0.069,0.0345
516,high,linear-high,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.84,0.7846154,0,0,0.069,0.08625000000000001
517,high,linear-high,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.9,0.7956044,0,0,0.079,0.079
518,high,linear-high,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.9,0.7956044,0,0,0.079,0.05925
519,high,linear-high,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.9,0.7956044,0,0,0.079,0.0395
520,high,linear-high,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.9,0.7956044,0,0,0.079,0.09875
521,high,linear-high,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.96,0.7758242,0,0,0.089,0.089
522,high,linear-high,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.96,0.7758242,0,0,0.089,0.06675
523,high,linear-high,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.96,0.7758242,0,0,0.089,0.0445
524,high,linear-high,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.96,0.7758242,0,0,0.089,0.11124999999999999
525,high,linear-high,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.84,0.7846154,0,0,0.069,0.069
526,high,linear-high,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.84,0.7846154,0,0,0.069,0.051750000000000004
527,high,linear-high,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.84,0.7846154,0,0,0.069,0.0345
528,high,linear-high,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.84,0.7846154,0,0,0.069,0.08625000000000001
529,high,linear-high,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.9,0.7956044,0,0,0.079,0.079
530,high,linear-high,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.9,0.7956044,0,0,0.079,0.05925
531,high,linear-high,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.9,0.7956044,0,0,0.079,0.0395
532,high,linear-high,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.9,0.7956044,0,0,0.079,0.09875
533,high,linear-high,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.96,0.7758242,0,0,0.089,0.089
534,high,linear-high,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.96,0.7758242,0,0,0.089,0.06675
535,high,linear-high,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.96,0.7758242,0,0,0.089,0.0445
536,high,linear-high,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.96,0.7758242,0,0,0.089,0.11124999999999999
537,high,linear-high,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.84,0.7846154,0,0,0.069,0.069
538,high,linear-high,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.84,0.7846154,0,0,0.069,0.051750000000000004
539,high,linear-high,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.84,0.7846154,0,0,0.069,0.0345
540,high,linear-high,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.84,0.7846154,0,0,0.069,0.08625000000000001
541,high,quadratic-moderate,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.48,1,-0.01255887,-5,0.079,0.079
542,high,quadratic-moderate,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.48,1,-0.01255887,-5,0.079,0.05925
543,high,quadratic-moderate,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.48,1,-0.01255887,-5,0.079,0.0395
544,high,quadratic-moderate,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.48,1,-0.01255887,-5,0.079,0.09875
545,high,quadratic-moderate,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-5.46,1,-0.01642314,-5,0.089,0.089
546,high,quadratic-moderate,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-5.46,1,-0.01642314,-5,0.089,0.06675
547,high,quadratic-moderate,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-5.46,1,-0.01642314,-5,0.089,0.0445
548,high,quadratic-moderate,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-5.46,1,-0.01642314,-5,0.089,0.11124999999999999
549,high,quadratic-moderate,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-5.35,1,-0.01642314,-5,0.069,0.069
550,high,quadratic-moderate,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-5.35,1,-0.01642314,-5,0.069,0.051750000000000004
551,high,quadratic-moderate,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-5.35,1,-0.01642314,-5,0.069,0.0345
552,high,quadratic-moderate,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-5.35,1,-0.01642314,-5,0.069,0.08625000000000001
553,high,quadratic-moderate,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.48,1,-0.01255887,-5,0.079,0.079
554,high,quadratic-moderate,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.48,1,-0.01255887,-5,0.079,0.05925
555,high,quadratic-moderate,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.48,1,-0.01255887,-5,0.079,0.0395
556,high,quadratic-moderate,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.48,1,-0.01255887,-5,0.079,0.09875
557,high,quadratic-moderate,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-5.46,1,-0.01642314,-5,0.089,0.089
558,high,quadratic-moderate,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-5.46,1,-0.01642314,-5,0.089,0.06675
559,high,quadratic-moderate,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-5.46,1,-0.01642314,-5,0.089,0.0445
560,high,quadratic-moderate,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-5.46,1,-0.01642314,-5,0.089,0.11124999999999999
561,high,quadratic-moderate,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-5.35,1,-0.01642314,-5,0.069,0.069
562,high,quadratic-moderate,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-5.35,1,-0.01642314,-5,0.069,0.051750000000000004
563,high,quadratic-moderate,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-5.35,1,-0.01642314,-5,0.069,0.0345
564,high,quadratic-moderate,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-5.35,1,-0.01642314,-5,0.069,0.08625000000000001
565,high,quadratic-moderate,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.48,1,-0.01255887,-5,0.079,0.079
566,high,quadratic-moderate,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.48,1,-0.01255887,-5,0.079,0.05925
567,high,quadratic-moderate,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.48,1,-0.01255887,-5,0.079,0.0395
568,high,quadratic-moderate,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.48,1,-0.01255887,-5,0.079,0.09875
569,high,quadratic-moderate,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-5.46,1,-0.01642314,-5,0.089,0.089
570,high,quadratic-moderate,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-5.46,1,-0.01642314,-5,0.089,0.06675
571,high,quadratic-moderate,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-5.46,1,-0.01642314,-5,0.089,0.0445
572,high,quadratic-moderate,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-5.46,1,-0.01642314,-5,0.089,0.11124999999999999
573,high,quadratic-moderate,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-5.35,1,-0.01642314,-5,0.069,0.069
574,high,quadratic-moderate,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-5.35,1,-0.01642314,-5,0.069,0.051750000000000004
575,high,quadratic-moderate,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-5.35,1,-0.01642314,-5,0.069,0.0345
576,high,quadratic-moderate,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-5.35,1,-0.01642314,-5,0.069,0.08625000000000001
577,high,quadratic-high,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.86,1,-0.05168458,-5,0.079,0.079
578,high,quadratic-high,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.86,1,-0.05168458,-5,0.079,0.05925
579,high,quadratic-high,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.86,1,-0.05168458,-5,0.079,0.0395
580,high,quadratic-high,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.86,1,-0.05168458,-5,0.079,0.09875
581,high,quadratic-high,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.84,1,-0.05941311,-5,0.089,0.089
582,high,quadratic-high,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.84,1,-0.05941311,-5,0.089,0.06675
583,high,quadratic-high,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.84,1,-0.05941311,-5,0.089,0.0445
584,high,quadratic-high,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.84,1,-0.05941311,-5,0.089,0.11124999999999999
585,high,quadratic-high,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.51,1,-0.05941311,-5,0.069,0.069
586,high,quadratic-high,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.51,1,-0.05941311,-5,0.069,0.051750000000000004
587,high,quadratic-high,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.51,1,-0.05941311,-5,0.069,0.0345
588,high,quadratic-high,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.51,1,-0.05941311,-5,0.069,0.08625000000000001
589,high,quadratic-high,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.86,1,-0.05168458,-5,0.079,0.079
590,high,quadratic-high,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.86,1,-0.05168458,-5,0.079,0.05925
591,high,quadratic-high,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.86,1,-0.05168458,-5,0.079,0.0395
592,high,quadratic-high,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.86,1,-0.05168458,-5,0.079,0.09875
593,high,quadratic-high,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.84,1,-0.05941311,-5,0.089,0.089
594,high,quadratic-high,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.84,1,-0.05941311,-5,0.089,0.06675
595,high,quadratic-high,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.84,1,-0.05941311,-5,0.089,0.0445
596,high,quadratic-high,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.84,1,-0.05941311,-5,0.089,0.11124999999999999
597,high,quadratic-high,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.51,1,-0.05941311,-5,0.069,0.069
598,high,quadratic-high,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.51,1,-0.05941311,-5,0.069,0.051750000000000004
599,high,quadratic-high,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.51,1,-0.05941311,-5,0.069,0.0345
600,high,quadratic-high,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.51,1,-0.05941311,-5,0.069,0.08625000000000001
601,high,quadratic-high,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.86,1,-0.05168458,-5,0.079,0.079
602,high,quadratic-high,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.86,1,-0.05168458,-5,0.079,0.05925
603,high,quadratic-high,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.86,1,-0.05168458,-5,0.079,0.0395
604,high,quadratic-high,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.86,1,-0.05168458,-5,0.079,0.09875
605,high,quadratic-high,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.84,1,-0.05941311,-5,0.089,0.089
606,high,quadratic-high,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.84,1,-0.05941311,-5,0.089,0.06675
607,high,quadratic-high,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.84,1,-0.05941311,-5,0.089,0.0445
608,high,quadratic-high,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.84,1,-0.05941311,-5,0.089,0.11124999999999999
609,high,quadratic-high,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.51,1,-0.05941311,-5,0.069,0.069
610,high,quadratic-high,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.51,1,-0.05941311,-5,0.069,0.051750000000000004
611,high,quadratic-high,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.51,1,-0.05941311,-5,0.069,0.0345
612,high,quadratic-high,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.51,1,-0.05941311,-5,0.069,0.08625000000000001
613,high,non-monotonic,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.08413846,2.034903,0.2103462,0,0.079,0.079
614,high,non-monotonic,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.08413846,2.034903,0.2103462,0,0.079,0.05925
615,high,non-monotonic,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.08413846,2.034903,0.2103462,0,0.079,0.0395
616,high,non-monotonic,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.08413846,2.034903,0.2103462,0,0.079,0.09875
617,high,non-monotonic,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.7862489,2.761839,0.3209179,0,0.089,0.089
618,high,non-monotonic,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.7862489,2.761839,0.3209179,0,0.089,0.06675
619,high,non-monotonic,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.7862489,2.761839,0.3209179,0,0.089,0.0445
620,high,non-monotonic,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.7862489,2.761839,0.3209179,0,0.089,0.11124999999999999
621,high,non-monotonic,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6206897,1.565517,0.137931,0,0.069,0.069
622,high,non-monotonic,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6206897,1.565517,0.137931,0,0.069,0.051750000000000004
623,high,non-monotonic,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6206897,1.565517,0.137931,0,0.069,0.0345
624,high,non-monotonic,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6206897,1.565517,0.137931,0,0.069,0.08625000000000001
625,high,non-monotonic,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.08413846,2.034903,0.2103462,0,0.079,0.079
626,high,non-monotonic,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.08413846,2.034903,0.2103462,0,0.079,0.05925
627,high,non-monotonic,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.08413846,2.034903,0.2103462,0,0.079,0.0395
628,high,non-monotonic,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.08413846,2.034903,0.2103462,0,0.079,0.09875
629,high,non-monotonic,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.7862489,2.761839,0.3209179,0,0.089,0.089
630,high,non-monotonic,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.7862489,2.761839,0.3209179,0,0.089,0.06675
631,high,non-monotonic,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.7862489,2.761839,0.3209179,0,0.089,0.0445
632,high,non-monotonic,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.7862489,2.761839,0.3209179,0,0.089,0.11124999999999999
633,high,non-monotonic,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6206897,1.565517,0.137931,0,0.069,0.069
634,high,non-monotonic,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6206897,1.565517,0.137931,0,0.069,0.051750000000000004
635,high,non-monotonic,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6206897,1.565517,0.137931,0,0.069,0.0345
636,high,non-monotonic,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6206897,1.565517,0.137931,0,0.069,0.08625000000000001
637,high,non-monotonic,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.08413846,2.034903,0.2103462,0,0.079,0.079
638,high,non-monotonic,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.08413846,2.034903,0.2103462,0,0.079,0.05925
639,high,non-monotonic,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.08413846,2.034903,0.2103462,0,0.079,0.0395
640,high,non-monotonic,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.08413846,2.034903,0.2103462,0,0.079,0.09875
641,high,non-monotonic,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.7862489,2.761839,0.3209179,0,0.089,0.089
642,high,non-monotonic,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.7862489,2.761839,0.3209179,0,0.089,0.06675
643,high,non-monotonic,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.7862489,2.761839,0.3209179,0,0.089,0.0445
644,high,non-monotonic,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.7862489,2.761839,0.3209179,0,0.089,0.11124999999999999
645,high,non-monotonic,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6206897,1.565517,0.137931,0,0.069,0.069
646,high,non-monotonic,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6206897,1.565517,0.137931,0,0.069,0.051750000000000004
647,high,non-monotonic,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6206897,1.565517,0.137931,0,0.069,0.0345
648,high,non-monotonic,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6206897,1.565517,0.137931,0,0.069,0.08625000000000001
